selector,baseline,scope,n,official_success,selected_success,delta,rescued,harmed,net_rescue,binomial_p_greater
fusion_rank_confidence_structure,official_ranking,method=protenix,687,0.5836972343522562,0.6622998544395924,0.0786026200873362,54,0,54,5.551115123125783e-17
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,all,4727,0.6244975671673366,0.7010789083985615,0.07658134123122484,377,15,362,4.772841533101099e-92
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,memory=high,2100,0.8885714285714286,0.9323809523809524,0.043809523809523854,97,5,92,1.7299364466874213e-23
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,memory=low,528,0.13825757575757575,0.2178030303030303,0.07954545454545456,42,0,42,2.2737367544323206e-13
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,memory=mid,2099,0.48261076703191996,0.5912339209147213,0.1086231538828013,238,10,228,4.655462710483137e-58
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=af3,697,0.6341463414634146,0.7388809182209469,0.10473457675753228,75,2,73,1.987880448087436e-20
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=af3_no_template,697,0.6456241032998565,0.7589670014347202,0.11334289813486365,81,2,79,3.6054734949655094e-22
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=boltz,670,0.6059701492537314,0.6611940298507463,0.055223880597014885,42,5,37,1.2289888218219858e-08
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=boltz1x,666,0.6201201201201201,0.6606606606606606,0.04054054054054057,30,3,27,7.005874067544937e-07
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=boltz2,630,0.6936507936507936,0.765079365079365,0.0714285714285714,46,1,45,3.410605131648481e-13
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=chai,680,0.5926470588235294,0.6676470588235294,0.07499999999999996,53,2,51,4.2771342023684156e-14
fusion_rank_confidence_structure_reference_neighborhood,official_ranking,method=protenix,687,0.5836972343522562,0.6564774381368268,0.07278020378457062,50,0,50,8.881784197001252e-16
